Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1855,05,22.2,14,Y
IDCJAC0005,086071,1855,06,18.3,01,Y
IDCJAC0005,086071,1855,07,15.5,05,Y
IDCJAC0005,086071,1855,08,19.4,15,Y
IDCJAC0005,086071,1855,09,27.2,29,Y
IDCJAC0005,086071,1855,10,32.2,24,Y
IDCJAC0005,086071,1855,11,35.5,22,Y
IDCJAC0005,086071,1855,12,36.9,09,Y
IDCJAC0005,086071,1856,01,36.7,26,Y
IDCJAC0005,086071,1856,02,36.1,17,Y
IDCJAC0005,086071,1856,03,35.1,09,Y
IDCJAC0005,086071,1856,04,30.3,02,Y
IDCJAC0005,086071,1856,05,20.1,06,Y
IDCJAC0005,086071,1856,06,17.1,03,Y
IDCJAC0005,086071,1856,07,16.7,29,Y
IDCJAC0005,086071,1856,08,23.3,31,Y
IDCJAC0005,086071,1856,09,24.7,14,Y
IDCJAC0005,086071,1856,10,28.1,22,Y
IDCJAC0005,086071,1856,11,28.9,25,Y
IDCJAC0005,086071,1856,12,30.3,19,Y
IDCJAC0005,086071,1857,01,38.3,12,Y
IDCJAC0005,086071,1857,02,39.5,08,Y
IDCJAC0005,086071,1857,03,36.9,01,Y
IDCJAC0005,086071,1857,04,28.8,20,Y
IDCJAC0005,086071,1857,05,19.8,14,Y
IDCJAC0005,086071,1857,06,18.8,07,Y
IDCJAC0005,086071,1857,07,17.9,30,Y
IDCJAC0005,086071,1857,08,19.7,23,Y
IDCJAC0005,086071,1857,09,26.4,27,Y
IDCJAC0005,086071,1857,10,27.2,16,Y
IDCJAC0005,086071,1857,11,32.1,09,Y
IDCJAC0005,086071,1857,12,42.9,24,Y
IDCJAC0005,086071,1858,01,42.1,28,Y
IDCJAC0005,086071,1858,02,35.7,19,Y
IDCJAC0005,086071,1858,03,34.0,07,Y
IDCJAC0005,086071,1858,04,29.9,01,Y
IDCJAC0005,086071,1858,05,24.5,06,Y
IDCJAC0005,086071,1858,06,16.5,01,Y
IDCJAC0005,086071,1858,07,15.1,22,Y
IDCJAC0005,086071,1858,08,21.7,28,Y
IDCJAC0005,086071,1858,09,22.3,19,Y
IDCJAC0005,086071,1858,10,30.3,25,Y
IDCJAC0005,086071,1858,11,39.5,22,Y
IDCJAC0005,086071,1858,12,34.6,31,Y
IDCJAC0005,086071,1859,01,35.8,01,Y
IDCJAC0005,086071,1859,02,40.0,06,Y
IDCJAC0005,086071,1859,03,30.8,01,Y
IDCJAC0005,086071,1859,04,29.7,02,Y
IDCJAC0005,086071,1859,05,22.1,01,Y
IDCJAC0005,086071,1859,06,17.1,08,Y
IDCJAC0005,086071,1859,07,16.1,17,Y
IDCJAC0005,086071,1859,08,19.3,05,Y
IDCJAC0005,086071,1859,09,22.1,25,Y
IDCJAC0005,086071,1859,10,29.4,02,Y
IDCJAC0005,086071,1859,11,34.1,22,Y
IDCJAC0005,086071,1859,12,39.4,04,Y
IDCJAC0005,086071,1860,01,43.9,22,Y
IDCJAC0005,086071,1860,02,34.3,27,Y
IDCJAC0005,086071,1860,03,35.1,25,Y
IDCJAC0005,086071,1860,04,29.9,02,Y
IDCJAC0005,086071,1860,05,19.1,08,Y
IDCJAC0005,086071,1860,06,17.3,21,Y
IDCJAC0005,086071,1860,07,17.1,31,Y
IDCJAC0005,086071,1860,08,18.3,27,Y
IDCJAC0005,086071,1860,09,24.1,08,Y
IDCJAC0005,086071,1860,10,24.5,06,Y
IDCJAC0005,086071,1860,11,29.9,22,Y
IDCJAC0005,086071,1860,12,34.4,31,Y
IDCJAC0005,086071,1861,01,36.9,10,Y
IDCJAC0005,086071,1861,02,32.0,14,Y
IDCJAC0005,086071,1861,03,35.6,12,Y
IDCJAC0005,086071,1861,04,27.7,05,Y
IDCJAC0005,086071,1861,05,22.4,08,Y
IDCJAC0005,086071,1861,06,17.8,11,Y
IDCJAC0005,086071,1861,07,15.3,02,Y
IDCJAC0005,086071,1861,08,19.5,29,Y
IDCJAC0005,086071,1861,09,25.0,26,Y
IDCJAC0005,086071,1861,10,30.6,20,Y
IDCJAC0005,086071,1861,11,32.9,18,Y
IDCJAC0005,086071,1861,12,30.5,27,Y
IDCJAC0005,086071,1862,01,44.0,14,Y
IDCJAC0005,086071,1862,02,35.9,23,Y
IDCJAC0005,086071,1862,03,37.0,09,Y
IDCJAC0005,086071,1862,04,24.3,15,Y
IDCJAC0005,086071,1862,05,19.3,19,Y
IDCJAC0005,086071,1862,06,16.1,20,Y
IDCJAC0005,086071,1862,07,16.9,10,Y
IDCJAC0005,086071,1862,08,22.7,26,Y
IDCJAC0005,086071,1862,09,24.1,27,Y
IDCJAC0005,086071,1862,10,30.3,13,Y
IDCJAC0005,086071,1862,11,36.3,17,Y
IDCJAC0005,086071,1862,12,41.7,31,Y
IDCJAC0005,086071,1863,01,40.3,08,Y
IDCJAC0005,086071,1863,02,40.0,02,Y
IDCJAC0005,086071,1863,03,33.3,05,Y
IDCJAC0005,086071,1863,04,28.1,15,Y
IDCJAC0005,086071,1863,05,22.3,11,Y
IDCJAC0005,086071,1863,06,16.7,05,Y
IDCJAC0005,086071,1863,07,18.2,25,Y
IDCJAC0005,086071,1863,08,17.9,25,Y
IDCJAC0005,086071,1863,09,21.7,25,Y
IDCJAC0005,086071,1863,10,25.6,25,Y
IDCJAC0005,086071,1863,11,31.1,21,Y
IDCJAC0005,086071,1863,12,33.7,29,Y
IDCJAC0005,086071,1864,01,35.9,08,Y
IDCJAC0005,086071,1864,02,34.5,18,Y
IDCJAC0005,086071,1864,03,33.3,14,Y
IDCJAC0005,086071,1864,04,29.5,01,Y
IDCJAC0005,086071,1864,05,21.3,04,Y
IDCJAC0005,086071,1864,06,17.6,16,Y
IDCJAC0005,086071,1864,07,17.7,14,Y
IDCJAC0005,086071,1864,08,18.3,28,Y
IDCJAC0005,086071,1864,09,26.1,20,Y
IDCJAC0005,086071,1864,10,26.1,10,Y
IDCJAC0005,086071,1864,11,33.3,30,Y
IDCJAC0005,086071,1864,12,33.9,23,Y
IDCJAC0005,086071,1865,01,34.8,04,Y
IDCJAC0005,086071,1865,02,39.7,27,Y
IDCJAC0005,086071,1865,03,35.7,04,Y
IDCJAC0005,086071,1865,04,34.4,06,Y
IDCJAC0005,086071,1865,05,21.1,08,Y
IDCJAC0005,086071,1865,06,20.1,21,Y
IDCJAC0005,086071,1865,07,15.0,30,Y
IDCJAC0005,086071,1865,08,21.3,21,Y
IDCJAC0005,086071,1865,09,26.1,22,Y
IDCJAC0005,086071,1865,10,32.8,31,Y
IDCJAC0005,086071,1865,11,37.3,11,Y
IDCJAC0005,086071,1865,12,38.7,27,Y
IDCJAC0005,086071,1866,01,42.3,16,Y
IDCJAC0005,086071,1866,02,39.1,08,Y
IDCJAC0005,086071,1866,03,35.5,12,Y
IDCJAC0005,086071,1866,04,32.7,11,Y
IDCJAC0005,086071,1866,05,27.8,01,Y
IDCJAC0005,086071,1866,06,18.0,15,Y
IDCJAC0005,086071,1866,07,17.2,03,Y
IDCJAC0005,086071,1866,08,21.3,29,Y
IDCJAC0005,086071,1866,09,23.9,14,Y
IDCJAC0005,086071,1866,10,32.1,30,Y
IDCJAC0005,086071,1866,11,35.1,06,Y
IDCJAC0005,086071,1866,12,36.1,25,Y
IDCJAC0005,086071,1867,01,42.4,12,Y
IDCJAC0005,086071,1867,02,37.2,10,Y
IDCJAC0005,086071,1867,03,36.1,06,Y
IDCJAC0005,086071,1867,04,29.7,04,Y
IDCJAC0005,086071,1867,05,23.3,15,Y
IDCJAC0005,086071,1867,06,18.8,07,Y
IDCJAC0005,086071,1867,07,18.7,12,Y
IDCJAC0005,086071,1867,08,21.5,25,Y
IDCJAC0005,086071,1867,09,22.2,03,Y
IDCJAC0005,086071,1867,10,28.2,30,Y
